City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Manuk Mangkaw,PH,4.8,119.85,80.13,81,86,6.87,overcast clouds
114,Souillac,MU,-20.5167,57.5167,74.35,94,40,9.22,scattered clouds
115,Viedma,AR,-40.8135,-62.9967,77.23,52,94,15.66,overcast clouds
116,Lorengau,PG,-2.0226,147.2712,82.38,79,59,4.56,broken clouds
117,Vardo,NO,70.3705,31.1107,28.38,80,100,20.71,overcast clouds
118,Moron,AR,-34.6534,-58.6198,82.0,62,4,9.31,clear sky
119,Eydhafushi,MV,5.1033,73.0708,80.8,74,40,9.06,scattered clouds
120,Ventspils,LV,57.3894,21.5606,39.13,87,0,19.57,clear sky
121,Pisco,PE,-13.7,-76.2167,74.01,83,20,8.05,few clouds
122,Puerto Ayora,EC,-0.7393,-90.3518,82.36,73,67,7.72,broken clouds
123,Riviere-Au-Renard,CA,48.9957,-64.3971,34.09,95,67,6.44,broken clouds
124,Hualmay,PE,-11.0964,-77.6139,72.9,72,81,8.48,broken clouds
125,Poum,NC,-20.2333,164.0167,81.18,87,97,29.37,overcast clouds
126,Lufilufi,WS,-13.8745,-171.5986,87.58,79,100,14.43,light rain
127,Buala,SB,-8.145,159.5921,82.36,79,24,6.51,light rain
128,Juruti,BR,-2.1522,-56.0922,78.01,88,87,0.96,moderate rain
129,Namibe,AO,-15.1961,12.1522,74.59,76,100,9.89,overcast clouds
130,Tautira,PF,-17.7333,-149.15,84.22,78,30,17.31,light rain
131,Mahebourg,MU,-20.4081,57.7,74.25,94,40,9.22,scattered clouds
132,Bukama,CD,-9.2,25.85,69.15,97,95,0.6,overcast clouds
133,Airai,TL,-8.9266,125.4092,61.14,92,100,0.92,overcast clouds
134,Las Vegas,US,36.175,-115.1372,74.43,11,0,13.8,clear sky
135,Torbay,CA,47.6666,-52.7314,36.27,92,100,20.71,light shower snow
136,Ribeira Grande,PT,38.5167,-28.7,57.6,72,20,8.05,few clouds
137,Talavera,PH,15.6167,120.9333,69.51,87,32,3.09,scattered clouds
138,Narsaq,GL,60.9167,-46.05,16.02,75,92,9.53,overcast clouds
139,Husavik,IS,66.0449,-17.3389,22.91,65,100,17.18,overcast clouds
140,Katsuura,JP,35.1333,140.3,41.14,73,100,17.07,overcast clouds
141,Ilulissat,GL,69.2167,-51.1,17.62,53,100,14.97,overcast clouds
142,Sao Filipe,CV,14.8961,-24.4956,76.8,61,75,2.44,broken clouds
