City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Itarema,BR,80.24,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
272,Porto Novo,BJ,84.02,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
274,Serra Negra,BR,75.51,broken clouds,-22.6122,-46.7006,Shelton Hotel
279,Iracoubo,GF,77.04,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
281,Cabo San Lucas,MX,82.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
287,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
289,Caravelas,BR,78.21,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
291,Isla Vista,US,88.92,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
296,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
304,Katherine,AU,75.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
306,Noumea,NC,82.0,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
310,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
311,Rabaul,PG,81.68,overcast clouds,-4.1967,152.1721,Rabaul Hotel
313,Canchungo,GW,78.93,few clouds,12.0672,-16.0333,Aparthotel Napalach
315,Cape Coast,GH,79.39,clear sky,5.1053,-1.2466,Samrit Hotel
320,Gweta,BW,75.9,clear sky,-20.1833,25.2333,Gweta Lodge
322,Ulladulla,AU,79.88,clear sky,-35.35,150.4667,Sandpiper Motel
323,Waslala,NI,88.14,few clouds,13.2333,-85.3833,
327,Mana,GF,77.63,broken clouds,5.6592,-53.7767,LE SAMANA
328,Salina Cruz,MX,79.05,scattered clouds,16.1667,-95.2,Amerik HOTEL
332,Santa Isabel Do Rio Negro,BR,76.64,light rain,-0.4139,-65.0192,Hotel GSA
338,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
339,Sumbe,AO,76.12,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
341,Delta Del Tigre,UY,75.61,few clouds,-34.7633,-56.3853,FINCA SUAREZ
344,Sinnamary,GF,76.84,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
350,Port Shepstone,ZA,75.33,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
351,Grenville,GD,82.45,clear sky,12.1167,-61.6167,Valley Breeze Guest House
353,Jacareacanga,BR,75.85,moderate rain,-6.2222,-57.7528,Casa do Ian😎
354,Waingapu,ID,78.35,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
357,Lompoc,US,88.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
358,Amahai,ID,76.95,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
361,Alugan,PH,78.84,overcast clouds,12.2188,125.4808,JM Lodge
365,Auki,SB,81.41,overcast clouds,-8.7676,160.7034,Auki Motel
366,Takoradi,GH,79.07,clear sky,4.8845,-1.7554,Raybow International Hotel
374,Voh,NC,79.56,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
375,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
